iter	RMSE
0	136033.5035
1	130917.207
2	126255.1429
3	121781.5968
4	117570.6166
5	113761.939
6	110132.7916
7	106678.678
8	103501.521
9	100501.0711
10	97754.48588
11	94950.21014
12	92417.9991
13	90073.33415
14	87865.1647
15	85904.3335
16	83983.74671
17	82013.81567
18	80303.53236
19	78745.51563
20	77306.33954
21	75938.98704
22	74636.01229
23	73394.26893
24	72118.92757
25	70958.69614
26	69930.12538
27	69011.88907
28	68095.40875
29	67262.63224
30	66384.94426
31	65606.4981
32	64855.01462
33	64170.54063
34	63483.94184
35	62859.14229
36	62279.16556
37	61705.18258
38	61138.82284
39	60606.46995
40	60163.1532
41	59718.50386
42	59294.15258
43	58837.19809
44	58446.9522
45	58076.5383
46	57705.02739
47	57322.58438
48	57009.99876
49	56680.52147
50	56380.88671
51	56056.56902
52	55714.57272
53	55444.73193
54	55229.99039
55	54955.15748
56	54734.17131
57	54558.42494
58	54263.93154
59	54093.01163
60	53859.98917
61	53683.07807
62	53442.74778
63	53290.73221
64	53070.97991
65	52923.49588
66	52736.5623
67	52564.70723
68	52381.8724
69	52191.47063
70	52023.24459
71	51852.25813
72	51715.69436
73	51569.21408
74	51434.86206
75	51311.71678
76	51185.76453
77	51067.81929
78	50898.21961
79	50749.7837
80	50629.24195
81	50502.96761
82	50381.58664
83	50286.33255
84	50122.29448
85	49983.3505
86	49855.39605
87	49756.42518
88	49592.36516
89	49500.2458
90	49382.47536
91	49301.34941
92	49213.43936
93	49140.01273
94	49035.86773
95	48960.17695
96	48886.54887
97	48813.44636
98	48729.59019
99	48681.43281
100	48569.08204
101	48463.93557
102	48402.72085
103	48312.72529
104	48210.11339
105	48133.39839
106	48032.05952
107	47981.19578
108	47935.6872
109	47859.63283
110	47799.66703
111	47726.89945
112	47656.86019
113	47610.71045
114	47547.29588
115	47501.96569
116	47368.40019
117	47321.02941
118	47226.28446
119	47142.45343
120	47081.51829
121	47048.20659
122	46956.37628
123	46890.86304
124	46808.23931
125	46719.52033
126	46657.26995
127	46565.32281
128	46503.29077
129	46464.49305
130	46398.81172
131	46286.95204
132	46187.61606
133	46134.18735
134	46070.50363
135	45998.34531
