iter	Passed	Remaining
0	4	4139
1	7	3756
2	10	3558
3	14	3530
4	17	3497
5	21	3487
6	24	3449
7	27	3450
8	31	3432
9	34	3437
10	38	3471
11	41	3455
12	45	3433
13	48	3431
14	52	3431
15	55	3419
16	58	3403
17	62	3404
18	65	3391
19	69	3389
20	72	3384
21	76	3383
22	79	3394
23	83	3395
24	86	3386
25	90	3379
26	93	3365
27	96	3360
28	100	3359
29	103	3356
30	107	3350
31	110	3347
32	114	3345
33	118	3360
34	121	3352
35	125	3356
36	128	3346
37	131	3339
38	135	3332
39	138	3330
40	142	3322
41	145	3315
42	149	3319
43	152	3321
44	156	3311
45	159	3313
46	179	3642
47	183	3629
48	186	3617
49	189	3600
50	193	3593
51	197	3599
52	201	3596
53	205	3594
54	209	3605
55	214	3617
56	218	3620
57	222	3615
58	226	3610
59	229	3599
60	233	3586
61	236	3577
62	239	3563
63	243	3556
64	246	3548
65	250	3541
66	253	3528
67	257	3525
68	260	3515
69	263	3507
70	267	3496
71	270	3490
72	274	3480
73	277	3472
74	280	3464
75	284	3453
76	287	3444
77	291	3442
78	294	3431
79	297	3424
80	301	3416
81	304	3412
82	308	3403
83	311	3396
84	314	3389
85	318	3383
86	321	3375
87	325	3371
88	328	3363
89	332	3359
90	335	3351
91	338	3345
92	342	3336
93	346	3337
94	350	3337
95	353	3331
96	358	3333
97	361	3327
98	365	3323
99	368	3314
100	371	3310
101	375	3302
102	378	3298
103	382	3292
104	385	3285
105	388	3278
106	392	3275
107	395	3269
108	399	3263
109	402	3258
110	406	3253
111	409	3246
112	412	3241
113	416	3235
114	419	3229
115	422	3221
116	426	3217
117	429	3210
118	432	3205
119	436	3199
120	439	3194
121	443	3188
122	446	3183
123	449	3176
124	453	3173
125	456	3168
126	460	3163
127	463	3157
128	466	3153
129	470	3146
130	474	3144
131	477	3138
132	480	3134
133	484	3129
134	487	3125
135	491	3121
136	494	3116
137	497	3110
138	501	3108
139	507	3116
140	511	3114
141	515	3112
142	518	3108
143	522	3104
144	525	3099
145	529	3097
146	533	3094
147	537	3093
148	541	3090
149	544	3087
150	548	3083
151	553	3087
152	557	3087
153	561	3083
154	565	3083
155	570	3084
156	574	3085
157	579	3086
158	583	3086
159	586	3081
160	590	3076
161	594	3073
162	598	3073
163	602	3069
164	607	3072
165	611	3071
166	614	3066
167	618	3063
168	621	3057
169	624	3051
170	628	3047
171	632	3045
172	636	3044
173	640	3042
174	644	3036
175	647	3031
176	651	3027
177	654	3024
178	658	3020
179	661	3015
180	666	3014
181	669	3009
182	673	3005
183	677	3005
184	681	3002
185	685	3001
186	689	2997
187	693	2993
188	696	2989
189	701	2988
190	704	2985
191	708	2983
192	712	2980
193	716	2975
194	719	2971
195	723	2969
196	727	2967
197	732	2965
198	736	2963
199	739	2959
200	744	2958
201	748	2957
202	752	2954
203	757	2954
204	760	2950
205	765	2951
206	769	2948
207	773	2943
208	776	2940
209	781	2938
210	786	2941
211	790	2939
212	794	2935
213	799	2935
214	803	2931
215	807	2929
216	810	2924
217	813	2918
218	817	2913
219	821	2912
220	824	2907
221	828	2903
222	831	2898
223	835	2893
224	838	2888
225	841	2882
226	845	2877
227	848	2873
228	851	2868
229	855	2863
230	858	2858
231	862	2853
232	865	2848
233	868	2844
234	872	2839
235	875	2834
236	879	2829
237	882	2824
238	885	2819
239	888	2813
240	892	2809
241	895	2804
242	899	2801
243	902	2796
244	905	2791
245	909	2789
246	913	2783
247	916	2777
248	919	2773
249	922	2768
250	926	2764
251	929	2759
252	933	2755
253	936	2749
254	939	2746
255	943	2741
256	946	2736
257	949	2731
258	952	2726
259	956	2721
260	959	2716
261	962	2712
262	966	2707
263	969	2704
264	973	2699
265	976	2695
266	979	2690
267	983	2686
268	987	2682
269	990	2678
270	993	2673
271	997	2670
272	1000	2664
273	1004	2662
274	1008	2658
275	1011	2653
276	1014	2649
277	1018	2644
278	1021	2639
279	1024	2635
280	1028	2632
281	1032	2628
282	1035	2623
283	1039	2619
284	1042	2614
285	1045	2610
286	1048	2605
287	1052	2600
288	1055	2596
289	1059	2592
290	1062	2588
291	1066	2585
292	1069	2580
293	1072	2576
294	1075	2571
295	1079	2566
296	1082	2561
297	1085	2557
298	1089	2553
299	1092	2549
300	1095	2544
301	1099	2540
302	1102	2536
303	1106	2532
304	1109	2528
305	1114	2527
306	1118	2524
307	1121	2520
308	1124	2515
309	1127	2508
310	1130	2505
311	1134	2501
312	1137	2497
313	1141	2493
314	1144	2489
315	1148	2485
316	1152	2482
317	1155	2478
318	1158	2473
319	1162	2469
320	1166	2467
321	1170	2464
322	1174	2461
323	1177	2457
324	1182	2455
325	1185	2451
326	1190	2449
327	1193	2445
328	1197	2442
329	1201	2439
330	1209	2444
331	1212	2439
332	1215	2435
333	1219	2430
334	1222	2427
335	1226	2423
336	1229	2419
337	1233	2415
338	1236	2410
339	1239	2406
340	1243	2402
341	1246	2398
342	1249	2394
343	1252	2389
344	1256	2385
345	1259	2381
346	1263	2377
347	1266	2373
348	1270	2369
349	1273	2364
350	1276	2360
351	1280	2356
352	1283	2352
353	1287	2348
354	1290	2344
355	1293	2340
356	1297	2336
357	1300	2332
358	1304	2330
359	1308	2325
360	1312	2323
361	1316	2320
362	1320	2317
363	1324	2314
364	1327	2310
365	1331	2306
366	1334	2301
367	1337	2297
368	1341	2293
369	1344	2289
370	1347	2285
371	1351	2281
372	1354	2277
373	1358	2273
374	1361	2269
375	1364	2264
376	1368	2260
377	1371	2256
378	1374	2252
379	1378	2248
380	1381	2245
381	1385	2241
382	1388	2237
383	1392	2233
384	1395	2229
385	1398	2225
386	1402	2220
387	1405	2216
388	1408	2212
389	1412	2208
390	1415	2205
391	1418	2200
392	1422	2197
393	1426	2193
394	1429	2189
395	1433	2186
396	1436	2181
397	1440	2178
398	1443	2174
399	1447	2170
400	1450	2166
401	1453	2162
402	1457	2158
403	1460	2154
404	1463	2150
405	1466	2146
406	1470	2142
407	1473	2137
408	1477	2134
409	1480	2130
410	1483	2126
411	1487	2122
412	1490	2118
413	1493	2114
414	1497	2110
415	1500	2106
416	1503	2102
417	1507	2098
418	1510	2095
419	1514	2091
420	1517	2087
421	1521	2083
422	1524	2079
423	1527	2075
424	1531	2071
425	1534	2067
426	1537	2063
427	1540	2059
428	1544	2055
429	1548	2053
430	1552	2050
431	1556	2045
432	1559	2042
433	1564	2040
434	1569	2038
435	1573	2035
436	1577	2032
437	1583	2031
438	1587	2028
439	1592	2026
440	1598	2026
441	1602	2023
442	1606	2019
443	1612	2018
444	1616	2015
445	1620	2013
446	1623	2009
447	1628	2006
448	1632	2003
449	1636	2000
450	1641	1998
451	1646	1995
452	1649	1992
453	1654	1990
454	1658	1986
455	1662	1983
456	1666	1979
457	1669	1975
458	1674	1973
459	1677	1969
460	1681	1966
461	1685	1962
462	1688	1958
463	1692	1955
464	1696	1951
465	1699	1948
466	1703	1944
467	1706	1940
468	1711	1937
469	1716	1935
470	1720	1932
471	1724	1928
472	1727	1925
473	1731	1921
474	1734	1917
475	1738	1913
476	1741	1909
477	1745	1905
478	1749	1902
479	1753	1900
480	1757	1896
481	1762	1894
482	1766	1891
483	1770	1887
484	1773	1883
485	1777	1880
486	1781	1876
487	1785	1873
488	1788	1869
489	1792	1865
490	1796	1862
491	1800	1858
492	1803	1855
493	1807	1851
494	1811	1848
495	1816	1845
496	1820	1842
497	1824	1839
498	1829	1836
499	1833	1833
500	1837	1829
501	1841	1826
502	1845	1823
503	1849	1820
504	1854	1818
505	1858	1814
506	1863	1811
507	1867	1808
508	1870	1804
509	1874	1801
510	1877	1797
511	1881	1793
512	1886	1790
513	1888	1786
514	1892	1782
515	1896	1778
516	1899	1774
517	1902	1770
518	1906	1767
519	1910	1763
520	1913	1759
521	1918	1756
522	1923	1754
523	1927	1751
524	1931	1747
525	1935	1744
526	1939	1740
527	1944	1737
528	1948	1734
529	1952	1731
530	1956	1727
531	1960	1724
532	1964	1721
533	1968	1717
534	1971	1713
535	1975	1710
536	1978	1706
537	1982	1702
538	1986	1698
539	1989	1694
540	1992	1690
541	1996	1686
542	1999	1682
543	2002	1678
544	2006	1674
545	2009	1671
546	2012	1667
547	2016	1663
548	2019	1659
549	2022	1655
550	2026	1651
551	2029	1647
552	2033	1643
553	2036	1639
554	2039	1635
555	2044	1632
556	2047	1628
557	2051	1624
558	2054	1621
559	2058	1617
560	2063	1614
561	2066	1610
562	2070	1607
563	2074	1603
564	2080	1601
565	2085	1599
566	2089	1595
567	2094	1593
568	2098	1589
569	2102	1585
570	2105	1582
571	2109	1578
572	2113	1575
573	2117	1571
574	2121	1568
575	2125	1564
576	2128	1560
577	2133	1557
578	2138	1554
579	2141	1550
580	2146	1547
581	2149	1543
582	2153	1540
583	2158	1537
584	2162	1534
585	2165	1530
586	2169	1526
587	2174	1523
588	2179	1520
589	2189	1521
590	2192	1517
591	2196	1513
592	2199	1509
593	2204	1506
594	2208	1503
595	2212	1499
596	2217	1496
597	2221	1493
598	2226	1490
599	2231	1487
600	2235	1484
601	2239	1480
602	2243	1477
603	2248	1473
604	2252	1470
